CMTE_ID,CMTE_NM,CMTE_TP,CMTE_CITY,CMTE_ST,CMTE_ZIP,CMTE_DSGN,CMTE_PTY_AFFILIATION,ORG_TP,CONNECTED_ORG_NM,CAND_ID
C00749440,VESS FOR CONGRESS,H,GILBERT,AZ,85298,P,REP,,WINRED,H0AZ05193
C00749465,J2 PROJECT LLC,P,MESA,AZ,85201,P,LIB,,NONE,P00016337
C00749564,ALAN WHITE US SENATE 2020,S,PHOENIX,AZ,85050,P,IND,,NONE,S0AZ00426
C00750240,STAR ROSELLI CAMPAIGN FOR US SENATE,S,SCOTTSDALE,AZ,85255,P,REP,,,S0WY00228
C00750422,NICHOLAS LANCE PRESIDENTIAL CAMPAIGN,P,TUCSON,AZ,85710,P,IDP,,NONE,P40004012
C00008227,ARIZONA REPUBLICAN PARTY,Y,PHOENIX,AZ,85016,U,REP,,WIN IN 2018,
C00033795,AZ COTTON GROWERS ASSOCATION,Q,TEMPE,AZ,85284,U,NAT,T,AZ COTTON GROWERS ASSOCATION,
C00038927,SUPIMA POLITICAL ACTION COMMITTEE-SUPAC,Q,TEMPE,AZ,85284,U,NAT,T,,
C00039941,ARIZONA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,Q,PHOENIX,AZ,85003,U,UNK,T,ARIZONA BANKERS ASSOCIATION,
C00041590,ASSOCIATION OF AMERICAN PHYSICIANS AND SURGEONS POLITICAL ACTION COMMITTEE (AAPS-PAC),Q,TUCSON,AZ,85716,U,UNK,M,"ASSOCIATION OF AMERICAN PHYSICIANS AND SURGEONS, INC.",
C00692038,STUDENTS AGAINST UNETHICAL STUDENT HOUSING PRACTICES,P,TEMPE,AZ,85281,A,UN,,NONE,
C00691527,PHOENIX ARIZONA,P,PHOENIX,AZ,85017,A,TN,,NONE,
C00689927,JOSUE LAROSE FOR UNITED STATES SENATE 2020,S,PHOENIX,AZ,85012,P,REP,,NONE,S0AZ00343
C00687707,SHEILA FOR SENATE,S,FLAGSTAFF,AZ,860032882,P,DEM,,,S2AZ00273
C00686626,LIBERTY 2020,P,BISBEE,AZ,85603,P,GRE,,NONE,
C00685834,RINGHAM FOR US SENATE,S,SUN LAKES,AZ,852480801,P,REP,,NONE,
C00679522,KEMESHA THOMAS,P,MESA,AZ,85210,A,DEM,,NONE,
C00676122,BOBOLSENIN 2018,H,SURPRISE,AZ,85374,P,DEM,,,H8AZ08240
C00676015,HECTOR FOR ARIZONA,H,CHANDLER,AZ,85225,P,DEM,,NONE,H8AZ09065
C00675991,JETTE FOR SENATE,S,PHOENIX,AZ,85085,P,DEM,,NONE,S8AZ00262
C00673913,CHRISTOPHER MCCARTHY,P,WHITERIVER,AZ,85941,P,NON,,NONE,P00007351
C00673640,JETTE FOR US CONGRESS,H,PHOENIX,AZ,85080,A,DEM,,,H8AZ06111
C00673566,JETTE FOR US,H,PHOENIX,AZ,85080,P,DEM,,NONE,H8AZ06111
C00673376,PAUL EVANS CANDIDATE COMMITTEE,H,GOODYEAR,AZ,85338,P,REP,,NONE,H8AZ03175
C00673194,BOB MUSSELWHITE FOR CONGRESS,H,LITCHFIELD PARK,AZ,853400053,P,DEM,,,H8AZ08232
C00672154,DELINA DISANTO FOR CONGRESS,H,CAVE CREEK,AZ,85331,P,DEM,,NONE,H8AZ04165
C00671875,YAHYA4CONGRESS,H,TUCSON,AZ,85741,P,DEM,,,H8AZ02235
C00670224,MORALES FOR CONGRESS,H,DOUGLAS,AZ,85607,P,REP,,,H8AZ02227
C00669572,MARILYN WILES FOR CONGRESS,H,TUCSON,AZ,85749,P,REP,,NONE,H8AZ02219
C00136838,AGPAC OF THE ARIZONA FARM BUREAU FEDERATION,Q,GILBERT,AZ,85296,U,NAT,M,ARIZONA FARM BUREAU FEDERATION,
C00669424,EVE REYES-AGUIRRE COMMITTEE TO ELECT,S,PHOENIX,AZ,85006,P,GRE,,,S8AZ00254
C00668285,MARTIN FOR FREEDOM,H,SIERRA VISTA,AZ,856351225,P,REP,,,H8AZ02201
C00667725,DAVID A RUBEN FOR US SENATE,S,TUCSON,AZ,85713,P,DEM,,,S2AZ00265
C00667626,COMMITTEE TO ELECT MARK YATES,H,SURPRISE,AZ,85388,P,REP,,NONE,
C00667535,THAD ANDRESKI II AZCD4,H,BUCKEYE,AZ,85396,P,W,,,H8AZ04157
C00667287,CASEYWELCHFORCONGRESS,H,TUCSON,AZ,85715,P,REP,,,H8AZ02193
C00666867,SAWDY FOR ARIZONA,H,GLENDALE,AZ,85308,P,REP,,,H8AZ08208
C00666206,SHERIFF JOE ARPAIO FOR US SENATE,S,FOUNTAIN HILLS,AZ,85268,P,REP,,NONE,S8AZ00247
C00666198,MICHELLE GRIFFIN FOR SENATE,S,QUEEN CREEK,AZ,85142,P,REP,,,S8AZ00239
C00666107,PIERSON FOR CONGRESS,H,TUCSON,AZ,85728,P,REP,,NONE,H8AZ03159
C00666040,MCSALLY FOR SENATE INC,S,PHOENIX,AZ,85016,P,REP,,MCSALLY SENATE VICTORY FUND,S8AZ00221
C00665224,TONY MARGALIS FOR CONGRESS,H,MESA,AZ,85215,P,DEM,,,H8AZ05170
C00664953,SHERIFF RICHARD MACK FOR CONGRESS INC.,H,PEORIA,AZ,85380,P,REP,,,H8AZ08190
C00664813,MONTENEGRO FOR CONGRESS,H,LITCHFIELD PARK,AZ,85340,P,REP,,,H8AZ08174
C00664490,MIRANDA FOR ARIZONA,H,PHOENIX,AZ,85339,P,DEM,,NONE,H8AZ07044
C00664359,DAVID BRILL FOR CONGRESS COMMITTEE,H,PRESCOTT,AZ,86303,P,DEM,,,H8AZ04140
C00664342,BRILL FOR CONGRESS,H,PRESCOTT,AZ,86303,P,DEM,,,H8AZ04140
C00664003,BAKER FOR CONGRESS 2018,H,GLENDALE,AZ,85302,P,REP,,NONE,H8AZ08166
C00663914,DEBBIE LESKO FOR CONGRESS,H,PHOENIX,AZ,85064,P,REP,,WINNING WOMEN GOP AZ,H8AZ08158
